path,species,issues,severity
data\plantnet_300K\images_test\Anemone_alpina\734ae42d025b336bd56c43a776d1fefd9b75be52.jpg,Anemone_alpina,,0.0
data\plantnet_300K\images_test\Aegopodium_podagraria\c28e0fd49c548a8cbf07f71f94f7d83cd980233f.jpg,Aegopodium_podagraria,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\b2b0b4dc775abd75786e7e3e71968f3fa09895c2.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Tagetes_erecta\a4b68ee74408692355bb5ebb25a2d8babd4af092.jpg,Tagetes_erecta,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\fba14ab124c2b44a22a37b20753ec7312b4149d1.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Cereus_jamacaru\2c515121df9c024eb1a3ddd1a5f30b35c9507b97.jpg,Cereus_jamacaru,,0.0
data\plantnet_300K\images_test\Cymbalaria_muralis\3e0465f80ba96d1c1150c42b8f90c56721d935cd.jpg,Cymbalaria_muralis,,0.0
data\plantnet_300K\images_test\Anemone_blanda\20207b618f94f2b84f4d1eb7bcbb66e1eba7717a.jpg,Anemone_blanda,,0.0
data\plantnet_300K\images_test\Lamium_amplexicaule\19615e00a220cdb664b55ffec49e2a4be8f1908e.jpg,Lamium_amplexicaule,,0.0
data\plantnet_300K\images_test\Cymbalaria_muralis\ff06af1633ef6fde95ccac1587fe400d94f6a88c.jpg,Cymbalaria_muralis,,0.0
data\plantnet_300K\images_test\Cymbalaria_muralis\864c795b1ecd609a51a4c8a35bcb86ab9db54919.jpg,Cymbalaria_muralis,,0.0
data\plantnet_300K\images_test\Alcea_rosea\169eb54074da19a4b07939e847d39bd0f3652537.jpg,Alcea_rosea,,0.0
data\plantnet_300K\images_test\Cirsium_vulgare\50294c0bcb34f3826177ac119ca7854b91b034da.jpg,Cirsium_vulgare,,0.0
data\plantnet_300K\images_test\Aegopodium_podagraria\5273802a359b0b4900db2f94f0ac00e351fbb02a.jpg,Aegopodium_podagraria,,0.0
data\plantnet_300K\images_test\Trifolium_pratense\9e2df0f2c43f04db2e46074aa215185ae7a7942e.jpg,Trifolium_pratense,,0.0
data\plantnet_300K\images_test\Pelargonium_zonale_1\153cc8592ba436923af9e90e51e9e03c39ac653f.jpg,Pelargonium_zonale_1,,0.0
data\plantnet_300K\images_test\Daucus_carota\c79b0d1f2d7d95ac57ea26fb6716e2f2e327ffaf.jpg,Daucus_carota,,0.0
data\plantnet_300K\images_test\Tradescantia_pallida\68fcc89854052f2530582601ab3c0b3bfd8bd1f3.jpg,Tradescantia_pallida,,0.0
data\plantnet_300K\images_test\Viscaria_vulgaris\5a0a9ba5fddca76f68c4db39809e729f1f25a38e.jpg,Viscaria_vulgaris,,0.0
data\plantnet_300K\images_test\Anemone_nemorosa\c4b6fa3b018d5491bd53640bb05c858466c315b9.jpg,Anemone_nemorosa,,0.0
data\plantnet_300K\images_test\Neobuxbaumia_polylopha\f1cca755db4bcdfa3e5b43b454e57e94a1077f6f.jpg,Neobuxbaumia_polylopha,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\221d56ca7d9493ba7cccd3ba928795e86f6687db.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Alliaria_petiolata_1\bff15ebd24b8886bff2048642f90e5331ea97943.jpg,Alliaria_petiolata_1,,0.0
data\plantnet_300K\images_test\Daphne_laureola\6ba3384ea1be43a60f96a5626ba64764724718fb.jpg,Daphne_laureola,,0.0
data\plantnet_300K\images_test\Duchesnea_indica\e498d6e4e9ccf85f4a4c39d58274cfd268de157e.jpg,Duchesnea_indica,,0.0
data\plantnet_300K\images_test\Pyracantha_coccinea_1\1bdae00c9adfc2587bb00a2b1e03de97d6a06b4a.jpg,Pyracantha_coccinea_1,,0.0
data\plantnet_300K\images_test\Humulus_lupulus\206e78a05e3a200b25757ecae3a0e81a5bcec9ee.jpg,Humulus_lupulus,,0.0
data\plantnet_300K\images_test\Alliaria_petiolata\bfd7e4d0e6738d4e95ed852c9c6f31a95e2883bc.jpg,Alliaria_petiolata,,0.0
data\plantnet_300K\images_test\Anemone_nemorosa\2e9cd6697f59a1f350eb31ee2d82af4d92245973.jpg,Anemone_nemorosa,,0.0
data\plantnet_300K\images_test\Cirsium_eriophorum\19810c61b1e99660e60b6206f95c62885a13c910.jpg,Cirsium_eriophorum,,0.0
data\plantnet_300K\images_test\Anemone_coronaria\513da2b5173a352cf041c0e1ac6603ca5affd6b9.jpg,Anemone_coronaria,,0.0
data\plantnet_300K\images_test\Chaerophyllum_temulum\a28e5f9795a36a364c01d4c00e605c26134e64da.jpg,Chaerophyllum_temulum,,0.0
data\plantnet_300K\images_test\Thapsia_villosa\7f8996c2d2ff17a1fa03cbb68fd7a23177590b8d.jpg,Thapsia_villosa,,0.0
data\plantnet_300K\images_test\Sedum_acre\d0805805552898d03bb58b95b60b98b072adab91.jpg,Sedum_acre,,0.0
data\plantnet_300K\images_test\Papaver_somniferum\217f38009fca1bda7ffc5e147bfe5c0f779a697a.jpg,Papaver_somniferum,,0.0
data\plantnet_300K\images_test\Cirsium_oleraceum\21f323578696625f5182f1d7c06474ba72bb496c.jpg,Cirsium_oleraceum,,0.0
data\plantnet_300K\images_test\Pelargonium_zonale_1\64401b1208be8af01f27ad4bedb8224cf52f30ad.jpg,Pelargonium_zonale_1,,0.0
data\plantnet_300K\images_test\Humulus_lupulus\3c11769a69ece1c68c41e8ecf0fb4bba702e98db.jpg,Humulus_lupulus,,0.0
data\plantnet_300K\images_test\Pelargonium_graveolens\1f69ab8dcc622f5aca523999f3717430bb716a7e.jpg,Pelargonium_graveolens,,0.0
data\plantnet_300K\images_test\Anthurium_andraeanum\a7375a319369dd5600a5ede4ab16002c1ebcfca5.jpg,Anthurium_andraeanum,,0.0
data\plantnet_300K\images_test\Anemone_hupehensis\6c17b054852ce829fbae9442003c682ba71d0921.jpg,Anemone_hupehensis,,0.0
data\plantnet_300K\images_test\Freesia_refracta\47fb9e26274b718ae5eaa83ebf803f4c2c8639f2.jpg,Freesia_refracta,,0.0
data\plantnet_300K\images_test\Acacia_mellifera\54c433dd3376fe102660ade713ffe8b10766a84c.jpg,Acacia_mellifera,,0.0
data\plantnet_300K\images_test\Lamium_album\ec62a9a1efb1e47d29224cd78e7d433afd3af414.jpg,Lamium_album,,0.0
data\plantnet_300K\images_test\Lactuca_muralis\ce8ace8712c5b7017c569aa035560e40e6c56ced.jpg,Lactuca_muralis,,0.0
data\plantnet_300K\images_test\Cirsium_vulgare\82bc99e207d1db715871d221eb52e549700d9ed5.jpg,Cirsium_vulgare,,0.0
data\plantnet_300K\images_test\Chaerophyllum_hirsutum\655d824ae2c53b4e22ec4af9a5ea53298197160f.jpg,Chaerophyllum_hirsutum,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\634886fe43b948c7ec0b19ae36235ea2511d6774.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Peperomia_obtusifolia\fc56c62605984ff573a767f2d22f2f055cb6070f.jpg,Peperomia_obtusifolia,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\7f759bbdf3227d5e52a3b6f47912faad3fba651d.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Lapsana_communis\61554cc3c7e66ce219c8e6bd39ed88819d5702b1.jpg,Lapsana_communis,,0.0
data\plantnet_300K\images_test\Trifolium_montanum\3cb936715df5fbe8e388acb337e3fdf6c4120687.jpg,Trifolium_montanum,,0.0
data\plantnet_300K\images_test\Lactuca_sativa\016e6655ed6e24173522ea5a3e827cd1814c5922.jpg,Lactuca_sativa,,0.0
data\plantnet_300K\images_test\Tagetes_erecta\1968c33bdd8489ba05bcc1fee447659c16b43147.jpg,Tagetes_erecta,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\8bf1dbe9e9222b15c7cec95ade8cdf45556110bd.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Daucus_carota\7cb39c45466876bbf93e929ddc215d83f42f7704.jpg,Daucus_carota,,0.0
data\plantnet_300K\images_test\Lactuca_serriola\9fc12d7c9b961b36c48283af8e5770a09d3054d5.jpg,Lactuca_serriola,,0.0
data\plantnet_300K\images_test\Anemone_nemorosa\cab9577de2d9837bfd4da0e9af8df0c62163ef8a.jpg,Anemone_nemorosa,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\656d186d82fbd019e6004dfafc64100aa565f45c.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Chaerophyllum_temulum\70723b8b2adaa1388dba5575eb270532ff22fc2d.jpg,Chaerophyllum_temulum,,0.0
data\plantnet_300K\images_test\Erechtites_hieraciifolius\d9fe83bc7c7b7e6c8c2a39b30e6077d9292adeba.jpg,Erechtites_hieraciifolius,,0.0
data\plantnet_300K\images_test\Epipactis_helleborine\a4a4842e84a00f4675c74fa9065c8368ab8216cc.jpg,Epipactis_helleborine,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\ea19db52b2592409987cbe38648bc262269cd3f6.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Adenostyles_alpina\9507026d0a43359b3d6c69ee25bac04613b92169.jpg,Adenostyles_alpina,,0.0
data\plantnet_300K\images_test\Daucus_carota\533189ece204a5ad53325c76a87ee2dd8e8e1fb0.jpg,Daucus_carota,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\b7676e8ec243132c8c60cde28a77a8af6c0991f6.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Sedum_album\9c69cc11f21362731e0a91e03ce650edbf697dd0.jpg,Sedum_album,,0.0
data\plantnet_300K\images_test\Phyllanthus_niruri\b9da3b47151d8b727402205a6e9a188ad9e84cb5.jpg,Phyllanthus_niruri,,0.0
data\plantnet_300K\images_test\Lavandula_latifolia\74596cf524f72e985d7b0ed299797809957c66c5.jpg,Lavandula_latifolia,,0.0
data\plantnet_300K\images_test\Epipactis_helleborine\d6125076e80063822a1c74d1a3806b7d2e9dc29f.jpg,Epipactis_helleborine,,0.0
data\plantnet_300K\images_test\Tradescantia_fluminensis\3c7f23cd39ea60c8f647d8a7a2b078024cd9c1de.jpg,Tradescantia_fluminensis,,0.0
data\plantnet_300K\images_test\Anemone_alpina\9e3ef6dec25dc8ba9d5f76275f0c23124f911f1d.jpg,Anemone_alpina,,0.0
data\plantnet_300K\images_test\Trifolium_pratense\e63f593938fc2c033f8bb5d8a785d05fd5a0ed45.jpg,Trifolium_pratense,,0.0
data\plantnet_300K\images_test\Lamium_galeobdolon\b235473d50b6dd79a58a3af60a2fbb127d3c22d1.jpg,Lamium_galeobdolon,,0.0
data\plantnet_300K\images_test\Alcea_rosea\c230ebadfb379b42ad90779884cf8dc4cd3eb283.jpg,Alcea_rosea,,0.0
data\plantnet_300K\images_test\Anthurium_andraeanum\f3842c987fd7aef9870525455702acf5ab1a7e03.jpg,Anthurium_andraeanum,,0.0
data\plantnet_300K\images_test\Lavandula_latifolia\ba20d5a7a174fe4cc52cd5a8bbce0f68c676b9f8.jpg,Lavandula_latifolia,,0.0
data\plantnet_300K\images_test\Anthericum_liliago\907861c3aa5ac2edc1b6837b504bfb2601b18d4a.jpg,Anthericum_liliago,,0.0
data\plantnet_300K\images_test\Lupinus_polyphyllus\c421f7c9f4850855fd8f044dfefe46c30fd9f63f.jpg,Lupinus_polyphyllus,,0.0
data\plantnet_300K\images_test\Trifolium_hybridum\39fbf8e8c3fc8830f7db9170126afa8b8ced15ce.jpg,Trifolium_hybridum,,0.0
data\plantnet_300K\images_test\Perovskia_atriplicifolia\14f4fdf1745750e668d0d56506ceae09018e25ee.jpg,Perovskia_atriplicifolia,,0.0
data\plantnet_300K\images_test\Epipactis_helleborine\1f8da114a42d3667e59a61d4616257e06cdeffd9.jpg,Epipactis_helleborine,,0.0
data\plantnet_300K\images_test\Pelargonium_zonale_1\6657da394c35604b69d85835d9bfc764719a5af3.jpg,Pelargonium_zonale_1,,0.0
data\plantnet_300K\images_test\Sedum_nussbaumerianum\5e5dcdc2a3aa0b2945f07c719025bf3f18fd7915.jpg,Sedum_nussbaumerianum,,0.0
data\plantnet_300K\images_test\Adenostyles_alliariae\159029585767b9f836ae7c57c4463015a1319a22.jpg,Adenostyles_alliariae,,0.0
data\plantnet_300K\images_test\Sedum_cepaea\6ac412d0abecd9658d709baa7f102e887b874eba.jpg,Sedum_cepaea,,0.0
data\plantnet_300K\images_test\Zamioculcas_zamiifolia\8bfa10b60e29b2d29c8436faf44b193668af6f0e.jpg,Zamioculcas_zamiifolia,,0.0
data\plantnet_300K\images_test\Daucus_carota\e422619c316f22b7e254a9fc4bbab7e4dabe55ec.jpg,Daucus_carota,,0.0
data\plantnet_300K\images_test\Tradescantia_zebrina_1\a306f4cb42b3a475cc3957293ea9f9ce20c67aa5.jpg,Tradescantia_zebrina_1,,0.0
data\plantnet_300K\images_test\Smilax_aspera\65a208bb6bce692a831d4207401ab43e9982f9c2.jpg,Smilax_aspera,,0.0
data\plantnet_300K\images_test\Sedum_adolphii\f87f1cf3d6bccaf2bb9b426ad69d69fc08340aa1.jpg,Sedum_adolphii,,0.0
data\plantnet_300K\images_test\Mercurialis_annua\7b6c87631eae9564410295dd53b962a183a916e6.jpg,Mercurialis_annua,,0.0
data\plantnet_300K\images_test\Lamium_galeobdolon\4a1a1c0c4438eb9b64f95c0f1a1850fb8c38ce14.jpg,Lamium_galeobdolon,,0.0
data\plantnet_300K\images_test\Pyracantha_coccinea\ba0aef2d5eefc56c617d37a00d1e1419396137dd.jpg,Pyracantha_coccinea,,0.0
data\plantnet_300K\images_test\Lactuca_serriola\b806748853a1e170fec7eeb2c814795ee2aa3e3d.jpg,Lactuca_serriola,,0.0
data\plantnet_300K\images_test\Sedum_praealtum\65e7d3ab9e3f96b1be773d2aa760715ac2e3e45f.jpg,Sedum_praealtum,,0.0
data\plantnet_300K\images_test\Alliaria_petiolata_1\9a40241aa4aeb0b1e62ed18c42118f7739515899.jpg,Alliaria_petiolata_1,,0.0
data\plantnet_300K\images_test\Angelica_archangelica\5b3bc571707cf36ae41a327d720d5f965fef4069.jpg,Angelica_archangelica,,0.0
data\plantnet_300K\images_test\Strongylodon_macrobotrys\dc748619d821dd2a18247dff161962e5609b92e0.jpg,Strongylodon_macrobotrys,,0.0
data\plantnet_300K\images_test\Centranthus_ruber\f77ae5ef6a600769be4c55c0457e25629d02e7bd.jpg,Centranthus_ruber,,0.0
data\plantnet_300K\images_test\Maerua_angolensis\aa553af330d9350f38c29b3f63c50389d7367a61.jpg,Maerua_angolensis,,0.0
data\plantnet_300K\images_test\Anemone_narcissiflora\c5c9f51bed74bde26aae8ae901fae713398c16fe.jpg,Anemone_narcissiflora,,0.0
data\plantnet_300K\images_test\Trifolium_pratense\625d602192675ecc37101136d0d240f2a161a1f1.jpg,Trifolium_pratense,,0.0
data\plantnet_300K\images_test\Trifolium_incarnatum\676a0010f2ed7b3b7ede80d04c8c3a8507cce3c1.jpg,Trifolium_incarnatum,,0.0
data\plantnet_300K\images_test\Humulus_lupulus\d3f22806d3937680c583da9ab09c0a74c5e18651.jpg,Humulus_lupulus,,0.0
data\plantnet_300K\images_test\Lamium_amplexicaule\171eed732ad649dbf3d58ab2ec3ea1122b73383f.jpg,Lamium_amplexicaule,,0.0
data\plantnet_300K\images_test\Balsamorhiza_sagittata\7bf30e7de9fec73d832b6691f389ea2e29da0569.jpg,Balsamorhiza_sagittata,,0.0
data\plantnet_300K\images_test\Papaver_rhoeas\f44a26b28ff8539a9ff1b006325c4bdbb185741b.jpg,Papaver_rhoeas,,0.0
data\plantnet_300K\images_test\Nymphoides_peltata\cd0d5e5724bad74bfc7d0b1b32954f5cd35c4c81.jpg,Nymphoides_peltata,,0.0
data\plantnet_300K\images_test\Lavandula_stoechas\b4c54ef55d331cee4c61b0316f238a5f5be0dd02.jpg,Lavandula_stoechas,,0.0
data\plantnet_300K\images_test\Daucus_carota\5f704f7b9634da0093ecf0508f8ab6e62c99ee3f.jpg,Daucus_carota,,0.0
data\plantnet_300K\images_test\Lactuca_serriola\efc0c064880ae90b28f4660a8ed78a526bf8ec97.jpg,Lactuca_serriola,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\eb9e90d15ad607540f4fe22ec002eda20b123405.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Galega_officinalis\694e0bf832d953cfcf8875a88bc854d9f7a1c4b0.jpg,Galega_officinalis,,0.0
data\plantnet_300K\images_test\Papaver_rhoeas\538785b4bc85ffb60bf4c8b359e43937a2b296f0.jpg,Papaver_rhoeas,,0.0
data\plantnet_300K\images_test\Erucastrum_incanum\e57409ac45dbf582277199070749e25f3171a82e.jpg,Erucastrum_incanum,,0.0
data\plantnet_300K\images_test\Alliaria_petiolata_1\18a8417b1b747e500016baeed111347aa383abd4.jpg,Alliaria_petiolata_1,,0.0
data\plantnet_300K\images_test\Tagetes_erecta\43f9b0d4ce3ef2f858175ae0d9f5b95ec4a63279.jpg,Tagetes_erecta,,0.0
data\plantnet_300K\images_test\Neotinea_ustulata\251f373a58240172364fb993e344effecd029e28.jpg,Neotinea_ustulata,,0.0
data\plantnet_300K\images_test\Tradescantia_pallida\8f1f6f577bfc971251c7bd5195ec75b6a7e5c754.jpg,Tradescantia_pallida,,0.0
data\plantnet_300K\images_test\Phalaris_arundinacea\46fab378ab0dd5fb47f81d7880066523f00f77e4.jpg,Phalaris_arundinacea,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\db6e9822a93dcf47a07c85b7790123537e3735e0.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Alocasia_longiloba\c849db1de9c1455a634d312b3f44ddfb9e7ef3d0.jpg,Alocasia_longiloba,,0.0
data\plantnet_300K\images_test\Ophrys_tenthredinifera\dbb1291f81c3f4297d115f5b35d4006310e64508.jpg,Ophrys_tenthredinifera,,0.0
data\plantnet_300K\images_test\Centranthus_ruber\1d5a2e9b06c1af40f402b523d2ef4be6a0d7335f.jpg,Centranthus_ruber,,0.0
data\plantnet_300K\images_test\Phedimus_aizoon\f3f2a5beb3e0d5d2e89732a22e52d538c7ebf2f9.jpg,Phedimus_aizoon,,0.0
data\plantnet_300K\images_test\Lamium_album\4423db389ae34401849b3c4e21aa63df057239e8.jpg,Lamium_album,,0.0
data\plantnet_300K\images_test\Papaver_rhoeas\98b3d82880d8c70546e798c8138d76558b1c6b04.jpg,Papaver_rhoeas,,0.0
data\plantnet_300K\images_test\Trifolium_arvense\230678a0b44bb3e073edaef18ca35f8a635fa741.jpg,Trifolium_arvense,,0.0
data\plantnet_300K\images_test\Tradescantia_spathacea\cb2c069461148b77e4174b13d5a67e778af0ba55.jpg,Tradescantia_spathacea,,0.0
data\plantnet_300K\images_test\Pelargonium_zonale_1\50799d28997ed289e9ba93308ee72a8a2e29a6a7.jpg,Pelargonium_zonale_1,,0.0
data\plantnet_300K\images_test\Cirsium_vulgare\1e0e40ed715ab29c4b72a3c636f3c74977e6cbc5.jpg,Cirsium_vulgare,,0.0
data\plantnet_300K\images_test\Trifolium_pratense\b981ec8930d1ef5553c50d62b5255ec45d4c20b0.jpg,Trifolium_pratense,,0.0
data\plantnet_300K\images_test\Anemone_pulsatilla\54d548d62e51eb4201fc662d01b72782b3726f00.jpg,Anemone_pulsatilla,,0.0
data\plantnet_300K\images_test\Sedum_nussbaumerianum\5c8aec1d0660e6e8529e6f7a0550b2580fba5574.jpg,Sedum_nussbaumerianum,,0.0
data\plantnet_300K\images_test\Pelargonium_graveolens\52e99ca0a007abfa1c6a96ec2157bb8c3f4b94fa.jpg,Pelargonium_graveolens,,0.0
data\plantnet_300K\images_test\Cirsium_arvense\51479d8114b51d7091da8961d267ec0755344cd7.jpg,Cirsium_arvense,,0.0
data\plantnet_300K\images_test\Cirsium_vulgare\4a4ccd2e286c31a3dd55f042c369ccea8a1a290b.jpg,Cirsium_vulgare,,0.0
data\plantnet_300K\images_test\Trifolium_pratense\69501b348fe0b04f6cd2326ee8f3a34073679bbb.jpg,Trifolium_pratense,,0.0
data\plantnet_300K\images_test\Papaver_dubium\3cdf0ef6994da72912d10133c7a4020198b1efe8.jpg,Papaver_dubium,,0.0
data\plantnet_300K\images_test\Peperomia_serpens\3a51d051373cf4decf481c870e46190c7c1fdbcc.jpg,Peperomia_serpens,,0.0
data\plantnet_300K\images_test\Acacia_dealbata\0038b49e0352646885a8899be350813d927f34a5.jpg,Acacia_dealbata,,0.0
data\plantnet_300K\images_test\Lamium_galeobdolon\0b8c29ac45630e5f9e2591bfac6b23f0f11b6a11.jpg,Lamium_galeobdolon,,0.0
data\plantnet_300K\images_test\Phedimus_spurius\c8b0fd049a26d800472b5217f4e86c7d205d817d.jpg,Phedimus_spurius,,0.0
data\plantnet_300K\images_test\Trifolium_incarnatum\7692bbb76c6f9c99f32337f95136decf11f943f9.jpg,Trifolium_incarnatum,,0.0
data\plantnet_300K\images_test\Daucus_carota\d92bc7666001cded307797072e386f9725e71cf1.jpg,Daucus_carota,,0.0
data\plantnet_300K\images_test\Alliaria_petiolata_1\85dbb10e98743b318f888469156b87b86bcf4411.jpg,Alliaria_petiolata_1,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\b12bd57cf158951b9175ad247457f0c30d0d53bd.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Papaver_somniferum\42615e9f31a4a8e5ad2edfefa3585b0ba9949bfb.jpg,Papaver_somniferum,,0.0
data\plantnet_300K\images_test\Anemone_nemorosa\70731f4843bc87ffdbd1966d7f03e343355250fb.jpg,Anemone_nemorosa,,0.0
data\plantnet_300K\images_test\Hypericum_x_hidcoteense\ea7db37409aaf271a6812cd1284312228504dfc0.jpg,Hypericum_x_hidcoteense,,0.0
data\plantnet_300K\images_test\Lactuca_virosa_1\981613cbd05e7da779f301392ccf9abd9b2a4259.jpg,Lactuca_virosa_1,,0.0
data\plantnet_300K\images_test\Anthurium_andraeanum\6a12cd72c66757e2c6c45745339a525132d2cc93.jpg,Anthurium_andraeanum,,0.0
data\plantnet_300K\images_test\Trachelospermum_jasminoides\5a34990a845932a06fd5feba350501608970de91.jpg,Trachelospermum_jasminoides,,0.0
data\plantnet_300K\images_test\Tradescantia_pallida_1\7c850b50ae9fe47e1af93e47bcffc2452c77b047.jpg,Tradescantia_pallida_1,,0.0
data\plantnet_300K\images_test\Pelargonium_zonale_1\d25de32d08a63da6de60e5f194f04e8ec66f4a2f.jpg,Pelargonium_zonale_1,,0.0
data\plantnet_300K\images_test\Hypericum_perforatum\bd0ce51e434ad4b4d4d0372e87beecf39048455a.jpg,Hypericum_perforatum,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\b2900eb4866b79b59ad5481d58b010670974de2f.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Cirsium_vulgare\74736e402ab2ae4d686e7caceafd8304b3298cd9.jpg,Cirsium_vulgare,,0.0
data\plantnet_300K\images_test\Sedum_morganianum\8ba91141ac3e7e3fdee55fdcae19d119e9c84bfe.jpg,Sedum_morganianum,,0.0
data\plantnet_300K\images_test\Trifolium_repens\2a8861a52147439011785703a629746be3d88b64.jpg,Trifolium_repens,,0.0
data\plantnet_300K\images_test\Lactuca_alpina_1\7ce0d2c00feff76b8ac9262baeae7bd1855b725e.jpg,Lactuca_alpina_1,,0.0
data\plantnet_300K\images_test\Fragaria_vesca\03c9ecc161c5d09b7755f87bdf9f5212d53b7517.jpg,Fragaria_vesca,,0.0
data\plantnet_300K\images_test\Mercurialis_annua\5894934fc3133baeb2d8b3714d5abe3ea06614a2.jpg,Mercurialis_annua,,0.0
data\plantnet_300K\images_test\Tradescantia_zebrina_1\b147a22842b53de555c5faf372670d26d9688f8e.jpg,Tradescantia_zebrina_1,,0.0
data\plantnet_300K\images_test\Calendula_officinalis\c7a953f0ae9846e06185b521fa7e9a8b85474d3f.jpg,Calendula_officinalis,,0.0
data\plantnet_300K\images_test\Acalypha_virginica\2455821e95846836a2532f3adc8aeb5d11e615c6.jpg,Acalypha_virginica,,0.0
data\plantnet_300K\images_test\Ophrys_apifera\faa1367a574e5382b47b8fd1ece595619861b720.jpg,Ophrys_apifera,,0.0
data\plantnet_300K\images_test\Acalypha_indica\8518e69925eaaa1759a278a5d8c3c8548a6c7990.jpg,Acalypha_indica,,0.0
data\plantnet_300K\images_test\Alocasia_zebrina\e68d96b3e4b2e9ffd29e379caac888f9f4c9d2b4.jpg,Alocasia_zebrina,,0.0
